Price_KRW,Visitors_Flat,Revenue_Flat,Revenue_Dual_B1,Revenue_Dual_B2,Visitor_Loss_Pct
15434.86973947896,3308265.137871959,51062641466.71308,51828541026.06502,26591884629.954266,26.885269310119025
15533.06613226453,3291889.8928142763,51133143405.21735,51832227003.62474,26595570607.51399,27.24717247763341
15631.2625250501,3275514.6477565933,51200429363.730316,51835744843.53702,26599088447.42627,27.6090756451478
15729.458917835673,3259139.4026989103,51264499342.25201,51839094545.80186,26602438149.6911,27.97097881266219
15827.655310621243,3242764.1576412274,51325353340.782394,51842276110.41924,26605619714.30849,28.332881980176584
15925.851703406815,3226388.9125835444,51382991359.3215,51845289537.38918,26608633141.278435,28.694785147690972
16024.048096192386,3210013.6675258614,51437413397.869316,51848134826.711685,26611478430.600933,29.056688315205363
16122.244488977956,3193638.4224681784,51488619456.42584,51850811978.38674,26614155582.275986,29.41859148271975
16220.440881763529,3177263.1774104955,51536609534.99109,51853320992.41435,26616664596.303596,29.780494650234147
16318.637274549099,3160887.9323528125,51581383633.56503,51855661868.79451,26619005472.68376,30.142397817748535
16416.83366733467,3144512.6872951295,51622941752.147705,51857834607.52724,26621178211.41648,30.504300985262926
16515.03006012024,3128137.442237447,51661283890.739075,51859839208.61251,26623182812.501755,30.866204152777303
16613.226452905812,3111762.197179764,51696410049.339165,51861675672.05034,26625019275.939587,31.2281073202917
16711.422845691384,3095386.9521220806,51728320227.94796,51863343997.84072,26626687601.72997,31.590010487806097
16809.619238476953,3079011.707064398,51757014426.56547,51864844185.983665,26628187789.87291,31.951913655320478
16907.81563126253,3062636.4620067147,51782492645.191696,51866176236.47916,26629519840.368404,32.31381682283488
17006.012024048097,3046261.216949032,51804754883.82663,51867340149.32721,26630683753.216457,32.675719990349265
17104.208416833666,3029885.9718913496,51823801142.470276,51868335924.52782,26631679528.41706,33.03762315786364
17202.404809619242,3013510.7268336657,51839631421.12263,51869163562.08098,26632507165.970222,33.399526325378055
17300.60120240481,2997135.4817759832,51852245719.7837,51869823061.986694,26633166665.87594,33.76142949289244
17398.797595190383,2980760.2367183003,51861644038.453476,51870314424.244965,26633658028.13421,34.123332660406824
17496.99398797595,2964384.9916606178,51867826377.13197,51870637648.85579,26633981252.745037,34.48523582792121
17595.190380761524,2948009.746602935,51870792735.819176,51870792735.81917,26634136339.708416,34.84713899543559
17693.386773547096,2931634.5015452513,51870543114.51508,51870779685.1351,26634123289.024353,35.20904216295
17791.583166332668,2915259.2564875684,51867077513.21971,51870598496.8036,26633942100.692844,35.57094533046439
17889.779559118237,2898884.011429886,51860395931.93305,51870249170.824646,26633592774.71389,35.93284849797877
17987.97595190381,2882508.766372203,51850498370.6551,51869731707.19824,26633075311.087494,36.29475166549316
18086.17234468938,2866133.5213145195,51837384829.38586,51869046105.9244,26632389709.813652,36.656654833007565
18184.36873747495,2849758.276256837,51821055308.12533,51868192367.00311,26631535970.89236,37.01855800052194
18282.565130260522,2833383.031199154,51801509806.87351,51867170490.43438,26630514094.32363,37.380461168036334
18380.761523046094,2817007.786141471,51778748325.63041,51865980476.2182,26629324080.107452,37.74236433555072
18478.957915831663,2800632.5410837885,51752770864.39602,51864622324.35458,26627965928.243828,38.1042675030651
18577.154308617235,2784257.296026105,51723577423.170334,51863096034.84351,26626439638.73276,38.4661706705795
18675.350701402807,2767882.050968422,51691168001.95336,51861401607.685005,26624745211.57425,38.82807383809389
18773.54709418838,2751506.805910739,51655542600.74511,51859539042.87904,26622882646.76829,39.189977005608284
18871.743486973948,2735131.5608530566,51616701219.54556,51857508340.425644,26620851944.31489,39.55188017312267
18969.93987975952,2718756.3157953736,51574643858.35473,51855309500.3248,26618653104.214043,39.91378334063706
19068.136272545093,2702381.07073769,51529370517.1726,51852942522.57651,26616286126.46575,40.27568650815146
19166.33266533066,2686005.8256800077,51480881195.99918,51850407407.18077,26613751011.070015,40.63758967566584
19264.529058116234,2669630.5806223247,51429175894.83449,51847704154.13759,26611047758.026836,40.99949284318023
19362.725450901806,2653255.3355646417,51374254613.6785,51844832763.44696,26608176367.33621,41.36139601069463
19460.921843687374,2636880.0905069592,51316117352.53123,51841793235.10889,26605136838.99814,41.723299178209
19559.118236472947,2620504.845449276,51254764111.392654,51838585569.123375,26601929173.012623,42.0852023457234
